School Name,Latitude,Longitude,LGA
Clarinda Primary School,-37.927,145.10292,Kingston (C)
Clayton North Primary School,-37.91194,145.12267,Monash (C)
Clayton South Primary School,-37.94048,145.11644,Kingston (C)
Clifton Creek Primary School,-37.70208,147.65939,East Gippsland (S)
Clifton Hill Primary School,-37.79231,144.98925,Yarra (C)
Clifton Springs Primary School,-38.16566,144.55314,Greater Geelong (C)
Clunes Primary School,-37.29075,143.79211,Hepburn (S)
Clyde Creek Primary School,-38.12299,145.33155,Casey (C)
Clyde Grammar,-38.10602,145.37876,Casey (C)
Clyde Primary School,-38.13232,145.32639,Casey (C)
Coatesville Primary School,-37.92008,145.07363,Glen Eira (C)
Cobains Primary School,-38.07479,147.13228,Wellington (S)
Cobden Primary School,-38.32712,143.07812,Corangamite (S)
Cobram Primary School,-35.92511,145.6511,Moira (S)
Coburg North Primary School,-37.73617,144.95185,Merri-bek (C)
Coburg Primary School,-37.7413,144.96821,Merri-bek (C)
Coburg West Primary School,-37.74715,144.94762,Merri-bek (C)
Coburn Primary School,-37.69487,144.57266,Melton (C)
Cockatoo Primary School,-37.93937,145.49638,Cardinia (S)
Cohuna Consolidated School,-35.80632,144.21342,Gannawarra (S)
Coimadai Primary School,-37.61379,144.47831,Moorabool (S)
Colac Primary School,-38.33722,143.59834,Colac-Otway (S)
Colac South West Primary School,-38.34363,143.57203,Colac-Otway (S)
Colac West Primary School,-38.33642,143.57975,Colac-Otway (S)
Colbinabbin Primary School,-36.58988,144.80166,Campaspe (S)
Coldstream Primary School,-37.73256,145.38271,Yarra Ranges (S)
Coleraine Primary School,-37.60184,141.68404,Southern Grampians (S)
Columba Catholic School,-38.09326,145.71586,Cardinia (S)
Concongella Primary School,-37.04956,142.82232,Northern Grampians (S)
Congupna Primary School,-36.29987,145.43428,Greater Shepparton (C)
Coolaroo South Primary School,-37.66206,144.9309,Hume (C)
Coral Park Primary School,-38.04385,145.27435,Casey (C)
Corpus Christi School,-37.80853,144.87292,Maribyrnong (C)
Corpus Christi School,-37.70389,144.9228,Merri-bek (C)
Corpus Christi School,-37.90995,144.66344,Wyndham (C)
Courtenay Gardens Primary School,-38.08012,145.28345,Casey (C)
Cowes Primary School,-38.45628,145.24131,Bass Coast (S)
Cowwarr Primary School,-38.0137,146.69896,Wellington (S)
Craigieburn Primary School,-37.58264,144.93355,Hume (C)
Craigieburn South Primary School,-37.60875,144.93585,Hume (C)
